CourseNo,CourseNameAra,CourseNameEng,CourseCode,CourseCH,TheoreticalCH,PracticalCH,CourseDescAra,CourseDescEng,CourseObjAra,CourseObjEng,WCourseDescAra,WCourseDescEng,WCourseObjAra,WCourseObjEng,DepartmentNo
"223","علم نفس تربوي","INSTRUCTIONAL PSYCHNOLOGY","EDU13251","3","3","0","مفهوم علم النفس التربوي وعلاقته بمهنة التعليم، وأدوار المعلم والخصائص النمائية للطلبة، أنواع الأهداف السلوكية وصياغتها صياغة سليمة، كما يهدف إلى تعرف الطلبة إلى النمو المعرفي واللغوي، ونظريات التعلم المختلفة ""السلوكية والمعرفية""، ونماذج التعلم المختلفة والاستفادة منها، والتعلم الفعال، والتقنيات التعليمية، كما يهدف إلى تعرف الطلبة إلى نظريات الذكاء وأهميتها، وأنواع التفكير، والدافعية والفروق الفردية في القدرات العقلية بين الطلبة.      ","","","","مفهوم علم النفس التربوي وعلاقته بمهنة التعليم، وأدوار المعلم والخصائص النمائية للطلبة، أنواع الأهداف السلوكية وصياغتها صياغة سليمة، كما يهدف إلى تعرف الطلبة إلى النمو المعرفي واللغوي، ونظريات التعلم المختلفة ""السلوكية والمعرفية""، ونماذج التعلم المختلفة والاستفادة منها، والتعلم الفعال، والتقنيات التعليمية، كما يهدف إلى تعرف الطلبة إلى نظريات الذكاء وأهميتها، وأنواع التفكير، والدافعية والفروق الفردية في القدرات العقلية بين الطلبة.","","","","6"
"224","تكنولوجيا المعلومات","INFORMATION TECHNOLOGY","CMP03253","3","2","1","الخوارزميات، خرائط سير العمليات، الأنظمة العددية، التصميم المنطقي، تصميم وتنظيم الحاسوب، مقدمة إلى لغة C++.برمجيات النظم، نظم التشغيل، شبكات الحاسوب الانترنت، إدارة البيانات، تنظيم الملفات وتخزينها، أمن المعلومات، كذلك فان هذا المساق ينطوي على جانب عملي حيث تتاح الفرصة أمام الطلبة لتطبيق المبادئ النظرية باستخدام الحاسوب, وتطبيقات على Excel, Internet, Front Page. ","","","","الخوارزميات، خرائط سير العمليات، الأنظمة العددية، التصميم المنطقي، تصميم وتنظيم الحاسوب، مقدمة إلى لغة C++.برمجيات النظم، نظم التشغيل، شبكات الحاسوب الانترنت، إدارة البيانات، تنظيم الملفات وتخزينها، أمن المعلومات، كذلك فان هذا المساق ينطوي على جانب عملي حيث تتاح الفرصة أمام الطلبة لتطبيق المبادئ النظرية باستخدام الحاسوب, وتطبيقات على Excel, Internet, Front Page.","","","","1"
"225","II فيزياء عامة","GENERAL PHYSICS II","ACD03177","3","2","1","مقدمة في الكهرباء والمغناطيسية، المجال الكهربائي، قانون جاوس فرق الجهد الكهربي، المكثفات والعوازل، التيار الكهربائي والمقاومة، ودوائر التيار الثابت، المجال المغناطيسي، مصادر المجال المغناطيسي، قانون فاراداي، الحث، دوائر التيار المتردد، موجات الكهرومغناطيسية.ويدرس الطالب في المختبر التمدد الحراري، كود الألدلن للمقارنات، قانون أوم الدوائر على التوالي، القدرة في المقاومة، المقاومات على التوازي، تجربة ميليكان، جسر ويت ستون المكثفات، الحث المغناطيسي، الضوء الفيزيائي.","","","","مقدمة في الكهرباء والمغناطيسية، المجال الكهربائي، قانون جاوس فرق الجهد الكهربي، المكثفات والعوازل، التيار الكهربائي والمقاومة، ودوائر التيار الثابت، المجال المغناطيسي، مصادر المجال المغناطيسي، قانون فاراداي، الحث، دوائر التيار المتردد، موجات الكهرومغناطيسية.ويدرس الطالب في المختبر التمدد الحراري، كود الألدلن للمقارنات، قانون أوم الدوائر على التوالي، القدرة في المقاومة، المقاومات على التوازي، تجربة ميليكان، جسر ويت ستون المكثفات، الحث المغناطيسي، الضوء الفيزيائي.","","","","2"
"226","أساليب تدريس العلوم والتكنولوجيا","TECHNOLOGY & SCIENCES TEACHING METHODOLOGIES","EDU13252","3","3","0","   المعرفة التكنولوجية والنشاط العلمي، ربط المعرفة التكنولوجية بأساليب وطرق التدريس المختلفة، أهداف تدريس التكنولوجيا، طرق التقييم المتبعة في تعليم التكنولوجيا، طبيعة مناهج التكنولوجيا، التوجهات الحديثة في تدريس التكنولوجيا، وتطبيقات طرق وأساليب التدريس المختلفة عليها.","","","","المعرفة التكنولوجية والنشاط العلمي، ربط المعرفة التكنولوجية بأساليب وطرق التدريس المختلفة، أهداف تدريس التكنولوجيا، طرق التقييم المتبعة في تعليم التكنولوجيا، طبيعة مناهج التكنولوجيا، التوجهات الحديثة في تدريس التكنولوجيا، وتطبيقات طرق وأساليب التدريس المختلفة عليها.","","","","6"
"227","مبادئ اتصال","PRINCIPLES OF COMMUNICATION","BUS03250","3","2","1","   أساسيات مفهوم الاتصال كعملية اجتماعية، أركان والية عملية الاتصال، استخدام أساسيات فنون الاتصال الفعالة، معوقات الاتصال، المناهج العلمية لتحليل السلوك الإنساني ومهارات تحقق الاتفاق والتفاعل الاجتماعي.","","","","أساسيات مفهوم الاتصال كعملية اجتماعية، أركان والية عملية الاتصال، استخدام أساسيات فنون الاتصال الفعالة، معوقات الاتصال، المناهج العلمية لتحليل السلوك الإنساني ومهارات تحقق الاتفاق والتفاعل الاجتماعي.","","","","3"
"228","مقدمة في قواعد البيانات","INTRODUCTION OF DATABASE","CMP23250","3","2","1","    المفاهيم الأساسية في أنظمة قواعد البيانات، خصائص قواعد البيانات، المخطط المعماري ذو المستويات الثلاث، استقلالية البيانات، نموذج العلاقة الكينونية (المفاهيم والرموز)، النموذج العلائقي (مفاهيم, قيود, والعمليات)، أمثلة على نظم إدارة قواعد البيانات، التطبيع والمفاهيم المتعلقة به، أمثلة على استخدام لغة SQL، مفاهيم الاسترجاع، المشاركة وأمن البيانات.","","","","المفاهيم الأساسية في أنظمة قواعد البيانات، خصائص قواعد البيانات، المخطط المعماري ذو المستويات الثلاث، استقلالية البيانات، نموذج العلاقة الكينونية (المفاهيم والرموز)، النموذج العلائقي (مفاهيم, قيود, والعمليات)، أمثلة على نظم إدارة قواعد البيانات، التطبيع والمفاهيم المتعلقة به، أمثلة على استخدام لغة SQL، مفاهيم الاسترجاع، المشاركة وأمن البيانات.","","","","1"
"229","مدخل إلى هندسة البيئة","INTRODUCTION TO ENVIRONMENTAL ENGINEERING","ACD03268","3","3","0","مفهوم البيئة، عناصرها، مصادر وخصائص الماء، خصائص المياه العادمة، أنواع ومصادر النفايات الصلبة، وطرق معالجتها "" التدوير، الطمر الصحي،..."" كما يتعرف  الطلبة على تلوث الهواء ووسائل مراقبته، الوسائل والاستراتيجيات المختلفة للتقليل من التلوث.","","","","مفهوم البيئة، عناصرها، مصادر وخصائص الماء، خصائص المياه العادمة، أنواع ومصادر النفايات الصلبة، وطرق معالجتها "" التدوير، الطمر الصحي،..."" كما يتعرف  الطلبة على تلوث الهواء ووسائل مراقبته، الوسائل والاستراتيجيات المختلفة للتقليل من التلوث.","","","","6"
"230","قضية فلسطين","THE PALESTINIAN ISSUE","ACD03370","3","3","0","تاريخ فلسطين قديماً وحديثاً، والقضية الفلسطينية ودوائرها (الفلسطينية، العربية، العالمية، الصهيونية)، وتوضيح أهم الأحداث التي عاشتها القضية منذ بداية تكالب الأطماع الاستعمارية والصهيونية والمؤامرات التي حيكت ضدها حتى الآن، وتوضيح دور الثورات الفلسطينية  العربية في مقاومة هذه الأطماع، والقرارات الدولية والحروب وأثرها على القضية الفلسطينية، كما يتعرف الطلبة على بعض الأعلام الفلسطينية والعربية التي أثرت في القضية الفلسطينية.","","","","تاريخ فلسطين قديماً وحديثاً، والقضية الفلسطينية ودوائرها (الفلسطينية، العربية، العالمية، الصهيونية)، وتوضيح أهم الأحداث التي عاشتها القضية منذ بداية تكالب الأطماع الاستعمارية والصهيونية والمؤامرات التي حيكت ضدها حتى الآن، وتوضيح دور الثورات الفلسطينية  العربية في مقاومة هذه الأطماع، والقرارات الدولية والحروب وأثرها على القضية الفلسطينية، كما يتعرف الطلبة على بعض الأعلام الفلسطينية والعربية التي أثرت في القضية الفلسطينية.","","","","6"
"231","القياس والتقويم","MEASUREMENT & EVALUATION","EDU13354","3","3","0","مفهوم القياس وأسسه وأنواعه، خطوات إعداد الاختبار الجيد، مقارنة بين القياس والتقويم، صياغة الاختبارات المقالية والموضوعية، أسس ومعايير الاختبارات العملية والشفوية، استخدام بعض أنواع التحليل الإحصائي في معالجة العلامات الخام لتقييم الطلبة وتقييم عملية التقييم.","","","","مفهوم القياس وأسسه وأنواعه، خطوات إعداد الاختبار الجيد، مقارنة بين القياس والتقويم، صياغة الاختبارات المقالية والموضوعية، أسس ومعايير الاختبارات العملية والشفوية، استخدام بعض أنواع التحليل الإحصائي في معالجة العلامات الخام لتقييم الطلبة وتقييم عملية التقييم.","","","","6"
"232","I كيمياء عامة","GENERAL CHEMISTRY I","ACD03360","3","2","1","      المادة وقياساتها، النظرية الذرية، الحسابات الكيميائية، التركيب الذري، الجدول الدوري، والمعادلات الموزونة، والروابط الكيميائية. ","","","","المادة وقياساتها، النظرية الذرية، الحسابات الكيميائية، التركيب الذري، الجدول الدوري، والمعادلات الموزونة، والروابط الكيميائية.","","","","6"
"233","I لغات برمجة حديثة","PROGRAMMING LANGUAGE I","CMP13350","3","2","1","المفاهيم الأساسية للبرمجة، العناصر المستخدمة في OOP. الفصل يشرح مفاهيم معينة في البرمجة الحديثة والجانب العملي يتطرق إلى لفات معينة مثل دليفي، c++ والجافا.","","","","المفاهيم الأساسية للبرمجة، العناصر المستخدمة في OOP. الفصل يشرح مفاهيم معينة في البرمجة الحديثة والجانب العملي يتطرق إلى لفات معينة مثل دليفي، c++ والجافا.","","","","1"
"234","تكنولوجيا التربية","EDUCATION TECHNOLOGY","EDU13355","3","3","0","مفهوم تكنولوجيا التربية، المنحى النظامي لاستخدام التكنولوجيا، الإدراك والاتصال والتعلم، الوسائل التعليمية، الوسائل التعليمية الالكترونية، أنماط من النشاطات التعليمية التعلّمية في إطار تكنولوجيا التربية، الأنظمة التعليمية متعددة الوسائط، تصميم وإنتاج وسائل تعليمية.","","","","مفهوم تكنولوجيا التربية، المنحى النظامي لاستخدام التكنولوجيا، الإدراك والاتصال والتعلم، الوسائل التعليمية، الوسائل التعليمية الالكترونية، أنماط من النشاطات التعليمية التعلّمية في إطار تكنولوجيا التربية، الأنظمة التعليمية متعددة الوسائط، تصميم وإنتاج وسائل تعليمية.","","","","6"
"235","I علوم حياتية عامة","GENERAL BIOLOGY I","ACD03379","3","2","1","الجزئيات البيولوجيه المهمة في علم الحيوان كتركيب الخلية ووظيفتها، الانقسام الخلوي، التغذية والإخراج، الجهاز الدوري والتنفس. كما يهدف أيضاَ تعرف الطلبة على فروع علم النبات، وتاريخه، البذرة وإنباتها، الجذر وأنواعه ، وتحوراته ، البنية الابتدائية للجذر، المجموع الخضري، مورفولوجيا الساق، تحورات الساق، البراعم،      تحورات الأوراق، مورفولوجيا الورقة، بنية الورقة، الزهرة.","","","","الجزئيات البيولوجيه المهمة في علم الحيوان كتركيب الخلية ووظيفتها، الانقسام الخلوي، التغذية والإخراج، الجهاز الدوري والتنفس. كما يهدف أيضاَ تعرف الطلبة على فروع علم النبات، وتاريخه، البذرة وإنباتها، الجذر وأنواعه ، وتحوراته ، البنية الابتدائية للجذر، المجموع الخضري، مورفولوجيا الساق، تحورات الساق، البراعم،      تحورات الأوراق، مورفولوجيا الورقة، بنية الورقة، الزهرة.","","","","6"
"236","II لغات برمجة حديثة","PROGRAMMING LANGUAGE II","CMP13351","3","2","1","  الأساسية في البرمجة الشيئية والعناصر المستخدمة مثل: الأصناف والكائنات، وتجريد البيانات، والتغليف، والوراثة ،تعدد الأشكال، واستخدام هذه العناصر في تطوير الأنظمة.","","","","الأساسية في البرمجة الشيئية والعناصر المستخدمة مثل: الأصناف والكائنات، وتجريد البيانات، والتغليف، والوراثة ،تعدد الأشكال، واستخدام هذه العناصر في تطوير الأنظمة.","","","","1"
"237","تصميم المناهج","CURRICULUM DESIGN","EDU13356","3","3","0","مفهوم المنهاج التقليدي والحديث، وبناء المنهاج من حيث عناصره، أسسه، تصميمه، تطبيقه، تطويره، وتقويمه، التركيز على منهاج التربية التكنولوجيا الفلسطيني الأول، دراسة واقعية للمناهج التكنولوجيا الحديثة، الكتاب المدرسي، تطبيقات على الكتاب الالكتروني.","","","","مفهوم المنهاج التقليدي والحديث، وبناء المنهاج من حيث عناصره، أسسه، تصميمه، تطبيقه، تطويره، وتقويمه، التركيز على منهاج التربية التكنولوجيا الفلسطيني الأول، دراسة واقعية للمناهج التكنولوجيا الحديثة، الكتاب المدرسي، تطبيقات على الكتاب الالكتروني.","","","","6"
"238","العلم والتكنولوجيا والمجتمع","SCIENCE, TECHNOLOGY AND SOCIETY","ACD03371","3","3","0",\N,\N,\N,\N,"","","","","6"
"239","II كيمياء عامة","GENERAL CHEMISTRY II","ACD03382","3","2","1","   المحاليل وخواصها الفيزيائية، تلقائية التفاعلات الكيميائية والدوال المصاحبة،  التفاعلات في المحاليل المائية، حالات المادة، ""الغازات، السوائل- الجوامد""، والقوى البين جزئية، الأحماض والقواعد، الكيمياء الحرارية، الاتزان الكيميائي، الكيمياء الحركية، وقياس سرعتها.","","","","المحاليل وخواصها الفيزيائية، تلقائية التفاعلات الكيميائية والدوال المصاحبة،  التفاعلات في المحاليل المائية، حالات المادة، ""الغازات، السوائل- الجوامد""، والقوى البين جزئية، الأحماض والقواعد، الكيمياء الحرارية، الاتزان الكيميائي، الكيمياء الحركية، وقياس سرعتها.","","","","6"
"240","II علوم حياتية عامة","GENERAL BIOLOGY II","ACD03380","3","2","1","   تقسيم الكائنات الحية وطرق تغذيتها وأنظمتها البيئية والخصائص العامة للممالك الخمس للكائنات الحية مع دراسة تفصيلية لنموذج أو أكثر من كل قسم ، حيث تتناول الدراسة الطحالب الخضر المزرقة، والخضراء ، والطحالب اليوجلينية، والطحالب العصوية والطحالب البنية، الأشن، الفطريات الطحلبية، الفطريات الأسكية، والفطريات البازيدية، والهباتيات الحزازيات والتريديات، وعاريات البذور.","","","","تقسيم الكائنات الحية وطرق تغذيتها وأنظمتها البيئية والخصائص العامة للممالك الخمس للكائنات الحية مع دراسة تفصيلية لنموذج أو أكثر من كل قسم ، حيث تتناول الدراسة الطحالب الخضر المزرقة، والخضراء ، والطحالب اليوجلينية، والطحالب العصوية والطحالب البنية، الأشن، الفطريات الطحلبية، الفطريات الأسكية، والفطريات البازيدية، والهباتيات الحزازيات والتريديات، وعاريات البذور.","","","","6"
"241","I تربية عملية","FIELD PRACTICUM I","EDU02450","2","1","1","       المعلومات الخاصة بالتدريب الميداني، وأهميته، ودور المعلم المتدرب في المدرسة ومهامه، وعلاقته بالمعلمين والطلبة والإدارة، وسلوكيات المعلم المتدرب وأخلاقه، والمشكلات التي قد يواجهها أثناء التدريب الميداني, ومشاهدة الطلبة لمواقف تعليمية ونماذج متعددة لدروس توضيحية وتقويمها، والتدريب العملي للطلبة على مهارات التدريس الأساسية ( التخطيط بأنواعه، إستراتيجية طرح الأسئلة، التعزيز، استخدام الوسائل التعليمية، التفاعل الصفي...) قيام الطلبة بالتنفيذ العملي لدروس مختارة من منهج التكنولوجيا، والتقويم الذاتي، وتقويم الأقران لبعضهم البعض في تلك الدروس.","","","","المعلومات الخاصة بالتدريب الميداني، وأهميته، ودور المعلم المتدرب في المدرسة ومهامه، وعلاقته بالمعلمين والطلبة والإدارة، وسلوكيات المعلم المتدرب وأخلاقه، والمشكلات التي قد يواجهها أثناء التدريب الميداني, ومشاهدة الطلبة لمواقف تعليمية ونماذج متعددة لدروس توضيحية وتقويمها، والتدريب العملي للطلبة على مهارات التدريس الأساسية ( التخطيط بأنواعه، إستراتيجية طرح الأسئلة، التعزيز، استخدام الوسائل التعليمية، التفاعل الصفي...) قيام الطلبة بالتنفيذ العملي لدروس مختارة من منهج التكنولوجيا، والتقويم الذاتي، وتقويم الأقران لبعضهم البعض في تلك الدروس.","","","","6"
"242","علوم الصحة والبيئة","HEALTH AND ENVIRONMENTAL SCIENCES","ACD03483","3","3","0","     مفهوم الصحة العامة وتعريف المرض وأنواع الأمراض والعدوى والمناعة وطرق الوقاية من الأمراض المعدية و إجراء مكافحة الأمراض المعدية. مفهوم البيئة، الدورات الطبيعية لأهم مكونات البيئة، التسمم الغذائي، المخاطر البيئية والحوادث في العمل.","","","","مفهوم الصحة العامة وتعريف المرض وأنواع الأمراض والعدوى والمناعة وطرق الوقاية من الأمراض المعدية و إجراء مكافحة الأمراض المعدية. مفهوم البيئة، الدورات الطبيعية لأهم مكونات البيئة، التسمم الغذائي، المخاطر البيئية والحوادث في العمل.","","","","6"
"243","الطاقة ومصادرها","ENERGY AND RESOURCES","ACD03484","3","3","0","مفهوم الطاقة، مصادرها، استخداماتها، نظم تحويلها، المصادر البديلة للطاقة، استرجاع الطاقة، الإشعاع الشمسي، قياس وتقدير الطاقة الشمسية، مبادئ انتقال الحرارة، اللواقط الشمسية، الآثار والمشكلات الناجمة عن إنتاج واستخدام الطاقة، وأزمة الطاقة وكيفية التعامل معها. ","","","","مفهوم الطاقة، مصادرها، استخداماتها، نظم تحويلها، المصادر البديلة للطاقة، استرجاع الطاقة، الإشعاع الشمسي، قياس وتقدير الطاقة الشمسية، مبادئ انتقال الحرارة، اللواقط الشمسية، الآثار والمشكلات الناجمة عن إنتاج واستخدام الطاقة، وأزمة الطاقة وكيفية التعامل معها.","","","","6"
"244","صيانة أجهزة الحاسوب","PCS MAINTENANCE","CMP02452","2","0","2","مواضيع في Hardware، أنواع الحواسيب، تركيبها، استكشاف الأخطاء في الحواسيب وإصلاحها، الأجهزة الإضافية مثل الطابعات، مواضيع في الـ Software من حيث أنظمة التشغيل وأنظمة الملفات المختلفة وتنصيب أنظمة التشغيل والبرامج المختلفة وتعريف الإضافية، استكشاف المشاكل وإصلاحها وموضع الفيروسات.","","","","مواضيع في Hardware، أنواع الحواسيب، تركيبها، استكشاف الأخطاء في الحواسيب وإصلاحها، الأجهزة الإضافية مثل الطابعات، مواضيع في الـ Software من حيث أنظمة التشغيل وأنظمة الملفات المختلفة وتنصيب أنظمة التشغيل والبرامج المختلفة وتعريف الإضافية، استكشاف المشاكل وإصلاحها وموضع الفيروسات.","","","","1"
"245","إدارة مجمعات تعليمية","EDUCATIONAL SOCIETIES MANAGEMENT","EDU13459","3","3","0","      تنمية الفكر و المعارف والكفايات والاتجاهات الإدارية لدى المتعلمين بشكل يعزز فهمهم لطبيعة دورهم في التنظيم المدرسي وفي إدارة وإحداث التغيير في المدرسة و إعدادهم  للاضطلاع بدور قيادي في الإصلاح التعليمي في كافة المواقع التربوية بدءا بالمدرسة  من أجل تحقيق التميز المؤسسي التربوي و جودة العملية التعليمية وصولاً لتحقيق الأهداف المنشودة.\
 ويغطي المساق العناصر التالية:   مفهوم الإدارة وأهميتها، وعناصرها, مكوناتها و وظائفها، وأنماطها، ونظرياتها ,  المفاهيم الإدارية الحديثة في الإدارة المدرسية,القيادة التربوية، الفرق بين القيادة والإدارة، الرؤية والرسالة، المناخ التنظيمي، مصادر قوة القيادة، كفايات و واجبات  مدير مدرسة المستقبل كمشرف تربوي مقيم.\
","","","","تنمية الفكر و المعارف والكفايات والاتجاهات الإدارية لدى المتعلمين بشكل يعزز فهمهم لطبيعة دورهم في التنظيم المدرسي وفي إدارة وإحداث التغيير في المدرسة و إعدادهم  للاضطلاع بدور قيادي في الإصلاح التعليمي في كافة المواقع التربوية بدءا بالمدرسة  من أجل تحقيق التميز المؤسسي التربوي و جودة العملية التعليمية وصولاً لتحقيق الأهداف المنشودة.\
 ويغطي المساق العناصر التالية:   مفهوم الإدارة وأهميتها، وعناصرها, مكوناتها و وظائفها، وأنماطها، ونظرياتها ,  المفاهيم الإدارية الحديثة في الإدارة المدرسية,القيادة التربوية، الفرق بين القيادة والإدارة، الرؤية والرسالة، المناخ التنظيمي، مصادر قوة القيادة، كفايات و واجبات  مدير مدرسة المستقبل كمشرف تربوي مقيم.","","","","6"
"246","شبكات واتصالات","NETWORKS AND COMMUNICATIONS","EEE43468","3","2","1","مفهوم شبكات الحاسوب وأنواعها. بروتوكولات الشبكات. وسائل ربط الشبكات وبالتحديد نموذج ال OSI، بروتوكول الانترنت TCP/IP ، الشبكات المحلية الجانب العملي ، نظام تشغيل الشبكات مثل windows 2000 و الـ NT, Linu.","","","","مفهوم شبكات الحاسوب وأنواعها. بروتوكولات الشبكات. وسائل ربط الشبكات وبالتحديد نموذج ال OSI، بروتوكول الانترنت TCP/IP ، الشبكات المحلية الجانب العملي ، نظام تشغيل الشبكات مثل windows 2000 و الـ NT, Linu.","","","","2"
"247","مبادئ الإدارة ","PRINCIPLES OF MANAGEMENT","BUS03451","3","3","0",\N,\N,\N,\N,"","","","","3"
"248","II تربية عملية","FIELD PRACTICUM II","EDU02451","2","1","1","إتاحة الفرص الواقعية للطلبة المتدربين لتنفيذ وتطبيق المفاهيم، والمبادئ والنظريات التربوية ذات العلاقة بمبحث التكنولوجيا والتعليم التكنولوجي, بشكل أدائي سلوكي في الميدان الفعلي ( في مدارس وزارة التربية والتعليم العالي، ووكالة الغوث)؛ لاكتساب المهارات والسلوكيات الخاصة بالعملية التعليمية التعلمية؛ ليكون قادراً على ممارستها بكفاءة وفعالية.","","","","إتاحة الفرص الواقعية للطلبة المتدربين لتنفيذ وتطبيق المفاهيم، والمبادئ والنظريات التربوية ذات العلاقة بمبحث التكنولوجيا والتعليم التكنولوجي, بشكل أدائي سلوكي في الميدان الفعلي ( في مدارس وزارة التربية والتعليم العالي، ووكالة الغوث)؛ لاكتساب المهارات والسلوكيات الخاصة بالعملية التعليمية التعلمية؛ ليكون قادراً على ممارستها بكفاءة وفعالية.","","","","6"
"249","كيمياء صناعية","INDUSTRIAL CHEMISTRY","ACD03486","3","2","1","     بعض الصناعات الكيمائية، البوليمرات واللدائن، الأصباغ وتكنولوجيا الدباغة، البويات، مستحضرات التجميل، الإسمنت، المنظفات والصابون صناعات دوائية، وصناعة الزجاج والخزف.","","","","بعض الصناعات الكيمائية، البوليمرات واللدائن، الأصباغ وتكنولوجيا الدباغة، البويات، مستحضرات التجميل، الإسمنت، المنظفات والصابون صناعات دوائية، وصناعة الزجاج والخزف.","","","","6"
"251","مدخل إلى العلوم التقنية","INTRODUCTION TO TECHNOLOGICAL SCIENCES","ACD03485","3","3","0","    مقدمة للعلوم التكنولوجية والتقنية، ويشمل المفاهيم الأساسية التكنولوجيا والتربية التكنولوجية مناهجها وتطبيقاتها، ومقدمة في استخدام الأدوات والخامات، والعمليات التكنولوجية، وأسلوب حل المشكلات للتكنولوجيا والعلوم التقنية المختلفة كما يحتوي على مقدمة في استخدام الأدوات والمواد الخام وأساليب حل المشكلات في المدارس الفلسطينية، فضلاً عن دراسة واقع التكنولوجيا في فلسطين بعامة وقطاع غزة بخاصة، كما يلقي الضوء على النظم التكنولوجية والتقنية المختلفة وتطبيقاتها في المجالات الآتية: تكنولوجيا الاتصالات، تكنولوجيا التصنيع، تكنولوجيا الإلكترونيات، تكنولوجيا الحاسوب، تكنولوجيا التحكم، التكنولوجيا الصناعية، تكنولوجيا الإنشاءات، تكنولوجيا المواصلات، وتكنولوجيا البيئية، تكنولوجيا الأحياء وغير ذلك من المجالات التكنولوجية المختلفة.","","","","مقدمة للعلوم التكنولوجية والتقنية، ويشمل المفاهيم الأساسية التكنولوجيا والتربية التكنولوجية مناهجها وتطبيقاتها، ومقدمة في استخدام الأدوات والخامات، والعمليات التكنولوجية، وأسلوب حل المشكلات للتكنولوجيا والعلوم التقنية المختلفة كما يحتوي على مقدمة في استخدام الأدوات والمواد الخام وأساليب حل المشكلات في المدارس الفلسطينية، فضلاً عن دراسة واقع التكنولوجيا في فلسطين بعامة وقطاع غزة بخاصة، كما يلقي الضوء على النظم التكنولوجية والتقنية المختلفة وتطبيقاتها في المجالات الآتية: تكنولوجيا الاتصالات، تكنولوجيا التصنيع، تكنولوجيا الإلكترونيات، تكنولوجيا الحاسوب، تكنولوجيا التحكم، التكنولوجيا الصناعية، تكنولوجيا الإنشاءات، تكنولوجيا المواصلات، وتكنولوجيا البيئية، تكنولوجيا الأحياء وغير ذلك من المجالات التكنولوجية المختلفة.","","","","6"
"252","ميكانيكا الموائع","FLUID MECHANICS","MEE23100","3","2","1",\N,\N,\N,\N,"","","","","2"
"253","الآلات الكهربائية","ELECTRICAL MACHINES","EEE83100","3","2","1",\N,\N,\N,\N,"","","","","2"
"254","مقاومة المواد","STRENGTH OF MATERIAL","MEE13100","3","2","1",\N,\N,\N,\N,"","","","","2"
"255","مشغل هندسي I","ENGINEERING WORKSHOP I","MEE02102","1","0","1",\N,\N,\N,\N,"","","","","2"
"256","قياسات ومواصفات","MEASUREMENTS AND SPECIFICATION","EEE12206","2","2","0",\N,\N,\N,\N,"","","","","2"
"257","التحكم الهيدروليكي والنيوماتيكي","HYDRAULIC AND PNEUMATIC CONTROL","MEE23201","3","2","1","","","","","","","","","2"
"258","ميكانيكا تطبيقية","APPLIED MECHANICS","MEE12201","2","2","0",\N,\N,\N,\N,"","","","","2"
"259","التحكم الآلي","AUTOMATIC CONTROL","EEE63201","3","3","0",\N,\N,\N,\N,"","","","","2"
"260","مشغل هندسي II","ENGINEERING WORKSHOP II","MEE02203","1","0","1",\N,\N,\N,\N,"","","","","2"
"261","تدريب ميداني ","FIELD TRAINING","EEE02205","2","0","2",\N,\N,\N,\N,"","","","","2"
"262","التحكم المنطقي المبرمج (PLC)","PROGRAMMABLE LOGIC CONTROL","EEE63202","3","2","1",\N,\N,\N,\N,"","","","","2"
"263","التحكم العددي المحوسب (CNC)","COMPUTERIZED NUMERICAL CONTROL","EEE63203","3","2","1",\N,\N,\N,\N,"","","","","2"
"264","إلكترونيات القوى","POWER ELECTRONICS","EEE13208","3","2","1",\N,\N,\N,\N,"","","","","2"
"265","الأعطال والصيانة ","FAULTS AND MAINTENANCE","MEE72200","2","0","2",\N,\N,\N,\N,"","","","","2"
"266","تصميم المكائن","MACHINES DESIGN","MEE33200","3","2","1",\N,\N,\N,\N,"","","","","2"
"267","الأمن والتنظيم الصناعي","INDUSTRIAL ORG. & SAFETY","MEE01201","1","1","0",\N,\N,\N,\N,"","","","","2"
"268","مشروع تخرج","GRADUATION PROJECT","EEE02206","2","0","2","","","","","","","","","2"
"269","مناهج البحث العلمي","METHODS OF SCIENTIFIC RESEARCH","ACD03269","3","3","0","مفهوم العلم، أهداف العلم، التفكير العلمي، مفاهيم وميادين البحث العلمي، المعرفة وخصائصها، المكتبة ودورها في البحث العلمي، أساليب البحث العلمي الامبريقية وغير الامبريقية، مشكلة البحث، خطة البحث، العينات، طرق جمع البيانات، أقسام البحث العلمي.","","","","مفهوم العلم، أهداف العلم، التفكير العلمي، مفاهيم وميادين البحث العلمي، المعرفة وخصائصها، المكتبة ودورها في البحث العلمي، أساليب البحث العلمي الامبريقية وغير الامبريقية، مشكلة البحث، خطة البحث، العينات، طرق جمع البيانات، أقسام البحث العلمي.","","","","6"
"271","برمجة الحاسوب","COMPUTER PROGRAMMING","EEE43100","3","2","1",\N,\N,\N,\N,"","","","","2"
"273","مشغل هندسي","ENGINEERING WORKSHOP","MEE01104","1","0","1",\N,\N,\N,\N,"","","","","2"
"274","أجهزة القياس والمجسات","MEASURMENT SETS AND SENSORS","EEE13105","3","2","1",\N,\N,\N,\N,"","","","","2"
"275","الربط بالحاسوب","INTERFACING PC","EEE43200","3","2","1",\N,\N,\N,\N,"","","","","2"
"276","التصميم بمساعدة الحاسوب (CAD)","COMPUTER AIDED DESIGN","EEE02200","2","0","2",\N,\N,\N,\N,"","","","","2"
"277","تصميم دوائر المنطق","LOGIC CIRCUITS DESIGN","EEE13200","3","2","1",\N,\N,\N,\N,"","","","","2"
"278","أنظمة الحماية والتحكم","SAFETY AND CONROL SYSTEMS","EEE62200","2","1","1","","","","","","","","","2"
