CourseNo,CourseNameAra,CourseNameEng,CourseCode,CourseCH,TheoreticalCH,PracticalCH,CourseDescAra,CourseDescEng,CourseObjAra,CourseObjEng,WCourseDescAra,WCourseDescEng,WCourseObjAra,WCourseObjEng,DepartmentNo
"1100","نظرية الألعاب","GAME THEORY","ELEC0002","2","0","2","","","","","","","","","10"
"1101","إدارة الفريق","TEAM MANAGEMENT","ELEC0003","2","2","0","","","","","","","","","10"
"1102","تصميم واجهات الألعاب","GAME INTERFACE DESIGN","ELEC0004","2","1","1","","","","","","","","","10"
"1103","الكتابة الإبداعية","CREATIVE WRITING","ELEC0005","2","2","0","","","","","","","","","10"
"1104","التفكير الإبداعي","CREATIVE THINKING","ELEC0006","2","1","1","","","","","","","","","10"
"1105","ضمان جودة الألعاب","QUALITY ASSURANCE FOR GAMES","ELEC0007","2","0","2","","","","","","","","","10"
"1106","الدراما الحديثة والنقد الفني","MODERN DRAMA AND ART CRITICISM","ELEC0001","2","2","0","","","","","","","","","10"
"1107","مصطلحات طبية","MEDICAL TERMINOLOGY","NBHG11151","1","1","0","","","","","","","","","6"
"1108","التغذية عبر مراحل العمر (1)","NUTRITION THROUGH LIFE STAGES (1)","NUT23261","3","3","0","","","","","","","","","6"
"1109","التغذية عبر مراحل العمر (2)","NUTRITION THROUGH LIFE STAGES (2)","NUT23267","3","3","0","","","","","","","","","6"
"1110","تخطيط الوجبات الغذائية","MEALS PLANNING","NUT23370","3","2","1","","","","","","","","","6"
"1111","ميكروبولوجيا الأغذية","FOOD MICROBIOLOGY","NUT24373","4","3","1","","","","","","","","","6"
"1112","تغذية علاجية (2)","THERAPEUTIC NUTRITION (2)","NUT23374","3","2","1","","","","","","","","","6"
"1113","تغذية علاجية (1)","THERAPEUTIC NUTRITION (1)","NUT23368","3","3","0","","","","","","","","","6"
"1114","صحة المجتمع","COMMUNITY HEALTH","PHS23375","3","3","0","","","","","","","","","6"
"1115","التغذية الرياضية","SPORT NUTIRITION","NUT22480","2","2","0","","","","","","","","","6"
"1116","أخلاقيات المهنة والصحة المهنية","ETHICS AND VOCATIONAL HEALTH","PHS31483","1","1","0","","","","","","","","","6"
"1117","مقدمة في مشروع التخرج","INTRODUCTION TO GRADUATION PROJECT","NPH11484","1","1","0","","","","","","","","","6"
"1118","الصحة النفسية المجتمعية","COMMUNITY MENTAL HEALTH","PHS32489","2","2","0","","","","","","","","","6"
"1119","الأغذية الوظيفية","FUNCTIONAL FOOD","NUT22491","2","2","0","","","","","","","","","6"
"1120","التغذية الجينية","GENETIC FOOD","NUT22487","2","2","0","","","","","","","","","6"
"1121","الأمن الغذائي","FOOD SECURITY","NUT22493","2","2","0","","","","","","","","","6"
"1122","الأعشاب الطبية والطب البديل","MEDICINAL HERBS AND ALTERNATIVE MEDICINE","NUT22495","2","2","0","","","","","","","","","32"
