PlanNo,ProgramNo,RuleNo,PlanCode,PlanNameAra,PlanNameAraAlias,PlanNameEng,CollegeCH,ProgramCH,PlanCH,CHPrice,CurID,AccDate
"30","5","1","813","الإعلام الرقمي","الإعلام الرقمي","DIGITAL MEDIA","15","15","40","10","97003","2015-07-23"
"31","6","2","108","علوم التغذية والصحة العامة","علوم التغذية والصحة العامة","NUTRITIONAL SCIENCES AND PUBLIC HEALTH","27","24","83","15","97003","2015-07-21"
"32","7","2","715","الإدارة الفندقية والسياحية","الإدارة الفندقية والسياحية","HOTEL AND TOURISM MANAGEMENT","27","25","85","13","97003","2015-07-21"
"33","2","1","306","الاتصالات السلكية واللاسلكية 2015-2016","الاتصالات السلكية واللاسلكية","WIRE AND WIRELESS COMMUNICATIONS","15","0","61","10","97003","1998-01-01"
"34","4","1","514","الإدارة وأتمتة المكاتب 2015-2016","الإدارة وأتمتة المكاتب","OFFICE MANAGEMENT AUTOMATION","15","12","42","10","97003","1997-01-01"
"35","1","1","612","البرمجيات وقواعد البيانات 2015-2016","البرمجيات وقواعد البيانات ","SOFTWARE AND DATABASE MANAGEMENT","15","0","55","10","97003","1999-01-01"
"36","1","1","900","الوسائط المتعددة والتصميم الجرافيكي 2015-2016","الوسائط المتعددة والتصميم الجرافيكي","MULTIMEDIA & GRAPHIC DESIGN","15","7","55","10","97003","2013-07-20"
"37","1","1","611","تصميم وتطوير مواقع الإنترنت 2015-2016","تصميم وتطوير مواقع الإنترنت","WEBSITE DEVELOPER","15","16","44","10","97003","2003-01-01"
"38","2","1","309","الكهروميكانيك 2015-2016","الكهروميكانيك","ELECTRO-MECHANICS","15","0","63","10","97003","1998-01-01"
"39","2","1","307","التحكم الصناعي 2015-2016","التحكم الصناعي","INDUSTRIAL CONTROL","15","0","62","10","97003","2007-01-01"
"40","2","3","901","هندسة أنظمة الحاسوب 2015-2016","هندسة أنظمة الحاسوب","COMPUTER SYSTEMS ENGINEERING","27","0","142","15","97003","2013-08-20"
"41","6","2","107","التربية التكنولوجية 2015-2016","التربية التكنولوجية","TECHNOLOGY EDUCATION","27","49","52","13","97003","2013-08-11"
"42","4","2","501","الإدارة الإلكترونية 2015-2016","الإدارة الإلكترونية","E-BUSINESS ","27","22","81","13","97003","2013-08-14"
"44","5","1","815","فنون التلفزيون 2015-2016","فنون التلفزيون","TELEVISION MEDIA","15","12","51","10","97003","1996-01-01"
"45","7","1","714","إدارة الطعام والشراب 2015-2016","إدارة الطعام والشراب","FOOD & BEVERAGE MANAGEMENT","15","16","35","10","97003","1998-01-01"
